phoneme,a,n,i,SIL,m,a,l
e,20.446177539527046,24.745108326808243,17.097603441833837,26.060984805591268,27.769074990320906,23.601504281252993,28.752009024333525
m,25.292884338521247,15.470215297130865,16.00889664340389,12.389611858976531,14.021407299451223,13.47549234864358,15.236182768534592
o,22.884314389794348,20.60068155315137,17.757072083019484,22.324194945532362,24.423225813288475,18.81811097097637,24.14344710955556
sh,30.366112968786286,38.930624306578636,30.05924327004153,39.883983491424196,41.45265513288377,37.54356899154784,40.8480013989724
o,19.58902016990477,16.44974727973321,12.344680161441126,16.45464603287596,18.109700739936937,15.35118662666762,19.569064987043884
n,28.97471992611641,15.873309310145672,19.473803526457903,10.526849312380588,11.541820820813447,14.572693465384738,11.474117658832487
